"(BTC)

Bitcoin
(BTC)","11057.50
USD"
"(ETH)

Ethereum
(ETH)","945.22
USD"
"(XRP)

Ripple
(XRP)","1.14
USD"
"(BCH)

Bitcoin Cash
(BCH)","1523.36
USD"
"(LTC)

Litecoin
(LTC)","224.54
USD"
"(ADA)

Cardano
(ADA)","0.390451
USD"
"(NEO)

NEO
(NEO)","135.11
USD"
"(XLM)

Stellar
(XLM)","0.451317
USD"
"(EOS)

EOS
(EOS)","9.65
USD"
"(MIOTA)

IOTA
(MIOTA)","2.09
USD"
"(DASH)

Dash
(DASH)","724.32
USD"
"(XMR)

Monero
(XMR)","313.56
USD"
"(XEM)

NEM
(XEM)","0.525191
USD"
"(ETC)

Ethereum Classic
(ETC)","39.08
USD"
"(LSK)

Lisk
(LSK)","29.52
USD"
"(TRX)

TRON
(TRX)","0.051249
USD"
"(VEN)

VeChain
(VEN)","6.30
USD"
"(QTUM)

Qtum
(QTUM)","32.55
USD"
"(BTG)

Bitcoin Gold
(BTG)","138.76
USD"
"(USDT)

Tether
(USDT)","0.995917
USD"
"(ICX)

ICON
(ICX)","4.81
USD"
"(OMG)

OmiseGO
(OMG)","17.54
USD"
"(ZEC)

Zcash
(ZEC)","471.62
USD"
"(XVG)

Verge
(XVG)","0.081037
USD"
"(NANO)

Nano
(NANO)","8.69
USD"
"(STEEM)

Steem
(STEEM)","4.41
USD"
"(BNB)

Binance Coin
(BNB)","11.07
USD"
"(BCN)

Bytecoin
(BCN)","0.005850
USD"
"(PPT)

Populous
(PPT)","27.69
USD"
"(STRAT)

Stratis
(STRAT)","9.82
USD"
"(SC)

Siacoin
(SC)","0.028711
USD"
"(RHOC)

RChain
(RHOC)","2.31
USD"
"(WAVES)

Waves
(WAVES)","7.98
USD"
"(DOGE)

Dogecoin
(DOGE)","0.006775
USD"
"(SNT)

Status
(SNT)","0.220818
USD"
"(BTS)

BitShares
(BTS)","0.266840
USD"
"(MKR)

Maker
(MKR)","1111.57
USD"
"(ZCL)

ZClassic
(ZCL)","195.84
USD"
"(AE)

Aeternity
(AE)","2.76
USD"
"(WTC)

Waltonchain
(WTC)","25.16
USD"
"(DCR)

Decred
(DCR)","90.88
USD"
"(R)

Revain
(R)","3.35
USD"
"(ZRX)

0x
(ZRX)","1.17
USD"
"(REP)

Augur
(REP)","54.34
USD"
"(DGD)

DigixDAO
(DGD)","288.87
USD"
"(HSR)

Hshare
(HSR)","12.90
USD"
"(ETN)

Electroneum
(ETN)","0.086236
USD"
"(VERI)

Veritaseum
(VERI)","263.46
USD"
"(KMD)

Komodo
(KMD)","5.07
USD"
"(ARDR)

Ardor
(ARDR)","0.517746
USD"
"(ARK)

Ark
(ARK)","4.66
USD"
"(KCS)

KuCoin Shares
(KCS)","5.12
USD"
"(GAS)

Gas
(GAS)","46.90
USD"
"(DRGN)

Dragonchain
(DRGN)","1.81
USD"
"(ZIL)

Zilliqa
(ZIL)","0.066027
USD"
"(DGB)

DigiByte
(DGB)","0.043469
USD"
"(BTC)

Bitcoin
(BTC)","11057.50
USD"
"(LRC)

Loopring
(LRC)","0.760304
USD"
"(BAT)

Basic Attention Token
(BAT)","0.421216
USD"
"(GBYTE)

Byteball Bytes
(GBYTE)","627.64
USD"
"(ETH)

Ethereum
(ETH)","945.22
USD"
"(ELF)

aelf
(ELF)","1.53
USD"
"(XRP)

Ripple
(XRP)","1.14
USD"
"(BTM)

Bytom
(BTM)","0.382644
USD"
"(BCH)

Bitcoin Cash
(BCH)","1523.36
USD"
"(SYS)

Syscoin
(SYS)","0.707110
USD"
"(LTC)

Litecoin
(LTC)","224.54
USD"
"(GNT)

Golem
(GNT)","0.444385
USD"
"(ADA)

Cardano
(ADA)","0.390451
USD"
"(POLY)

Polymath
(POLY)","1.53
USD"
"(NEO)

NEO
(NEO)","135.11
USD"
"(QASH)

QASH
(QASH)","1.02
USD"
"(XLM)

Stellar
(XLM)","0.451317
USD"
"(CNX)

Cryptonex
(CNX)","7.90
USD"
"(EOS)

EOS
(EOS)","9.67
USD"
"(MONA)

MonaCoin
(MONA)","6.10
USD"
"(MIOTA)

IOTA
(MIOTA)","2.09
USD"
"(KNC)

Kyber Network
(KNC)","2.58
USD"
"(DASH)

Dash
(DASH)","724.32
USD"
"(PIVX)

PIVX
(PIVX)","6.12
USD"
"(XMR)

Monero
(XMR)","314.27
USD"
"(NAS)

Nebulas
(NAS)","9.58
USD"
"(XEM)

NEM
(XEM)","0.525191
USD"
"(AION)

Aion
(AION)","3.85
USD"
"(ETC)

Ethereum Classic
(ETC)","39.24
USD"
"(LSK)

Lisk
(LSK)","29.52
USD"
"(DCN)

Dentacoin
(DCN)","0.000993
USD"
"(IOST)

IOStoken
(IOST)","0.047161
USD"
"(TRX)

TRON
(TRX)","0.051249
USD"
"(ETHOS)

Ethos
(ETHOS)","4.14
USD"
"(VEN)

VeChain
(VEN)","6.30
USD"
"(BTX)

Bitcore
(BTX)","26.00
USD"
"(QTUM)

Qtum
(QTUM)","32.55
USD"
"(GXS)

GXShares
(GXS)","4.95
USD"
"(BTG)

Bitcoin Gold
(BTG)","138.76
USD"
"(LINK)

ChainLink
(LINK)","0.824522
USD"
"(USDT)

Tether
(USDT)","0.995917
USD"
"(FCT)

Factom
(FCT)","32.92
USD"
"(ICX)

ICON
(ICX)","4.81
USD"
"(POWR)

Power Ledger
(POWR)","0.776464
USD"
"(OMG)

OmiseGO
(OMG)","17.54
USD"
"(FUN)

FunFair
(FUN)","0.061885
USD"
"(ZEC)

Zcash
(ZEC)","471.62
USD"
"(DENT)

Dent
(DENT)","0.025239
USD"
"(XVG)

Verge
(XVG)","0.081037
USD"
"(XZC)

ZCoin
(XZC)","64.24
USD"
"(NANO)

Nano
(NANO)","8.69
USD"
"(NXT)

Nxt
(NXT)","0.266768
USD"
"(STEEM)

Steem
(STEEM)","4.41
USD"
"(SALT)

SALT
(SALT)","4.88
USD"
"(BNB)

Binance Coin
(BNB)","11.07
USD"
"(PLR)

Pillar
(PLR)","1.10
USD"
"(KIN)

Kin
(KIN)","0.000329
USD"
"(BCN)

Bytecoin
(BCN)","0.005850
USD"
"(CND)

Cindicator
(CND)","0.172579
USD"
"(PPT)

Populous
(PPT)","27.69
USD"
"(NEBL)

Neblio
(NEBL)","18.85
USD"
"(STRAT)

Stratis
(STRAT)","9.82
USD"
"(PART)

Particl
(PART)","26.83
USD"
"(SC)

Siacoin
(SC)","0.028711
USD"
"(ENG)

Enigma
(ENG)","3.17
USD"
"(RHOC)

RChain
(RHOC)","2.31
USD"
"(BNT)

Bancor
(BNT)","5.66
USD"
"(WAVES)

Waves
(WAVES)","7.98
USD"
"(RDD)

ReddCoin
(RDD)","0.007576
USD"
"(SNT)

Status
(SNT)","0.220995
USD"
"(PAY)

TenX
(PAY)","2.07
USD"
"(DOGE)

Dogecoin
(DOGE)","0.006771
USD"
"(EMC)

Emercoin
(EMC)","5.12
USD"
"(BTS)

BitShares
(BTS)","0.266840
USD"
"(MAID)

MaidSafeCoin
(MAID)","0.462852
USD"
"(MKR)

Maker
(MKR)","1111.57
USD"
"(SMART)

SmartCash
(SMART)","0.290391
USD"
"(ZCL)

ZClassic
(ZCL)","195.84
USD"
"(IGNIS)

Ignis
(IGNIS)","0.274250
USD"
"(AE)

Aeternity
(AE)","2.75
USD"
"(REQ)

Request Network
(REQ)","0.320788
USD"
"(WTC)

Waltonchain
(WTC)","25.16
USD"
"(WAX)

WAX
(WAX)","0.415669
USD"
"(R)

Revain
(R)","3.35
USD"
"(QSP)

Quantstamp
(QSP)","0.325201
USD"
"(DCR)

Decred
(DCR)","90.88
USD"
"(BLOCK)

Blocknet
(BLOCK)","39.39
USD"
"(REP)

Augur
(REP)","54.34
USD"
"(SAN)

Santiment Network Token
(SAN)","3.05
USD"
"(ZRX)

0x
(ZRX)","1.17
USD"
"(ICN)

Iconomi
(ICN)","1.87
USD"
"(DGD)

DigixDAO
(DGD)","288.87
USD"
"(RDN)

Raiden Network Token
(RDN)","3.67
USD"
"(HSR)

Hshare
(HSR)","12.93
USD"
"(VTC)

Vertcoin
(VTC)","4.28
USD"
"(GAME)

GameCredits
(GAME)","2.88
USD"
"(VERI)

Veritaseum
(VERI)","263.46
USD"
"(ETN)

Electroneum
(ETN)","0.086236
USD"
"(ENJ)

Enjin Coin
(ENJ)","0.234899
USD"
"(KMD)

Komodo
(KMD)","5.07
USD"
